        Time          VdatE          VdatN          VdatZ         BlerrE         BlerrN         BlerrZ      VelocityE      VelocityN      VelocityZ  DisplacementE  DisplacementN  DisplacementZ
      51.300  0.7993343E-04 -0.5502426E-04 -0.3322806E-05 -0.2871432E-06  0.2670490E-06  0.1063321E-06  0.8022057E-04 -0.5529131E-04 -0.3429138E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00
      51.400  0.7781144E-04 -0.5814146E-04 -0.5276017E-05 -0.2869362E-06  0.2662126E-06  0.1053796E-06  0.7809837E-04 -0.5840767E-04 -0.5381396E-05  0.7809837E-05 -0.5840767E-05 -0.5381396E-06
      51.500  0.7811392E-04 -0.5779005E-04  0.9520196E-06 -0.2867292E-06  0.2653763E-06  0.1044270E-06  0.7840065E-04 -0.5805543E-04  0.8475925E-06  0.1564990E-04 -0.1164631E-04 -0.4533804E-06
      51.600  0.8587779E-04 -0.4649465E-04  0.3537227E-05 -0.2865223E-06  0.2645399E-06  0.1034744E-06  0.8616431E-04 -0.4675919E-04  0.3433752E-05  0.2426633E-04 -0.1632223E-04 -0.1100051E-06
      51.700  0.8494681E-04 -0.4443492E-04  0.1636490E-04 -0.2863153E-06  0.2637036E-06  0.1025219E-06  0.8523312E-04 -0.4469863E-04  0.1626238E-04  0.3278965E-04 -0.2079209E-04  0.1516232E-05
      51.800  0.9455484E-04 -0.3277515E-04  0.1520162E-04 -0.2861083E-06  0.2628672E-06  0.1015693E-06  0.9484095E-04 -0.3303801E-04  0.1510005E-04  0.4227374E-04 -0.2409589E-04  0.3026237E-05
      51.900  0.9685960E-04 -0.3167400E-04  0.1688032E-04 -0.2859013E-06  0.2620309E-06  0.1006168E-06  0.9714550E-04 -0.3193603E-04  0.1677971E-04  0.5198829E-04 -0.2728950E-04  0.4704208E-05
      52.000  0.1003635E-03 -0.2771332E-04  0.2971921E-04 -0.2856943E-06  0.2611946E-06  0.9966420E-07  0.1006492E-03 -0.2797452E-04  0.2961954E-04  0.6205322E-04 -0.3008695E-04  0.7666162E-05
      52.100  0.9657494E-04 -0.2670391E-04  0.1840891E-04 -0.2854873E-06  0.2603582E-06  0.9871164E-07  0.9686043E-04 -0.2696427E-04  0.1831019E-04  0.7173926E-04 -0.3278337E-04  0.9497182E-05
      52.200  0.9684412E-04 -0.2575659E-04  0.2186571E-04 -0.2852803E-06  0.2595219E-06  0.9775908E-07  0.9712940E-04 -0.2601611E-04  0.2176795E-04  0.8145220E-04 -0.3538499E-04  0.1167398E-04
      52.300  0.9550419E-04 -0.1978089E-04  0.2761587E-04 -0.2850734E-06  0.2586855E-06  0.9680652E-07  0.9578926E-04 -0.2003958E-04  0.2751907E-04  0.9103112E-04 -0.3738894E-04  0.1442588E-04
      52.400  0.8701069E-04 -0.2600660E-04  0.2227457E-04 -0.2848664E-06  0.2578492E-06  0.9585396E-07  0.8729556E-04 -0.2626445E-04  0.2217871E-04  0.9976068E-04 -0.4001539E-04  0.1664375E-04
      52.500  0.8477504E-04 -0.1984250E-04  0.2548605E-04 -0.2846594E-06  0.2570128E-06  0.9490140E-07  0.8505970E-04 -0.2009951E-04  0.2539115E-04  0.1082667E-03 -0.4202534E-04  0.1918287E-04
