   Station  Lat[deg]  Lon[deg] Epdis[km]   East[m]  North[m]     Up[m]   RbserrE   RbserrN   RbserrU
     PSGCX  -19.5972  -70.1231    81.809    -0.789    -0.064    -0.228    0.7528    0.4574    0.0288
       A02  -18.9633  -70.1981   100.663    -0.213    -0.137    -0.040    0.0388    0.0173    0.4651
      PB12  -18.6141  -70.3281   122.913    -0.094    -0.089    -0.012    0.1119    0.4474    0.4457
     HMBCX  -20.2782  -69.8879   131.778    -0.301     0.101    -0.080    0.2897    0.0710    0.8056
      PB11  -19.7610  -69.6558   132.266    -0.469     0.015    -0.078    0.4837    0.1375    0.2934
      TA01  -20.5656  -70.1807   133.418     0.068     0.008    -0.002    0.1150    0.8589    0.1572
     MNMCX  -19.1311  -69.5955   145.903    -0.259    -0.156    -0.115    1.3534    1.4014    1.4504
     PATCX  -20.8207  -70.1529   159.003    -0.026    -0.022    -0.046    1.3658    0.0430    1.1664
       A03  -20.4034  -69.6309   161.695    -0.068     0.033    -0.147    0.4829    0.1285    0.2464
       A01  -20.7636  -69.8886   169.269     0.035     0.025     0.020    1.5246    0.2634    0.7716
      PB08  -20.1411  -69.1534   193.519    -0.150     0.045    -0.015    1.5126    0.4189    0.0695
      PB16  -18.3351  -69.5077   201.502    -0.069    -0.044     0.002    0.0299    0.3388    0.3324
      PB01  -21.0432  -69.4874   220.031     0.013     0.011    -0.008    1.0054    1.1864    0.1597
      PB02  -21.3197  -69.8960   220.450     0.046     0.026    -0.040    0.5695    0.2595    0.9524
      PB07  -21.7267  -69.8862   261.489     0.017    -0.003     0.022    1.3462    0.5984    0.8735
      PB03  -22.0485  -69.7531   299.768     0.034    -0.023     0.041    0.9148    0.7799    1.1530
      PB09  -21.7964  -69.2419   301.355    -0.004     0.011    -0.008    1.1221    0.3158    0.6791
      PB04  -22.3337  -70.1492   316.447     0.007    -0.011    -0.007    0.2060    0.0868    0.5412
      PB05  -22.8528  -70.2023   371.500    -0.004     0.034    -0.010    0.1388    0.2319    1.0830
      PB06  -22.7058  -69.5719   374.374     0.010     0.008     0.015    0.2397    0.1398    0.9098
      PB15  -23.2083  -69.4709   430.220     0.019     0.010     0.047    1.1220    0.8600    1.3538
      PB10  -23.5134  -70.5541   439.264    -0.012     0.006     0.005    0.7059    0.8791    0.6453
